Date,Price
"Nov 28, 2021","2,623.00"
"Nov 21, 2021","2,615.00"
"Nov 14, 2021","2,679.50"
"Nov 07, 2021","2,700.00"
"Oct 31, 2021","2,556.50"
"Oct 24, 2021","2,716.50"
"Oct 17, 2021","2,868.00"
"Oct 10, 2021","3,171.50"
"Oct 03, 2021","2,966.00"
"Sep 26, 2021","2,857.00"
"Sep 19, 2021","2,915.50"
"Sep 12, 2021","2,885.50"
"Sep 05, 2021","2,924.00"
"Aug 29, 2021","2,727.00"
"Aug 22, 2021","2,649.50"
"Aug 15, 2021","2,546.50"
"Aug 08, 2021","2,600.00"
"Aug 01, 2021","2,578.00"
"Jul 25, 2021","2,590.00"
"Jul 18, 2021","2,502.50"
"Jul 11, 2021","2,488.50"
"Jul 04, 2021","2,501.50"
"Jun 27, 2021","2,562.00"
"Jun 20, 2021","2,486.00"
"Jun 13, 2021","2,385.00"
"Jun 06, 2021","2,464.50"
"May 30, 2021","2,455.00"
"May 23, 2021","2,483.00"
"May 16, 2021","2,370.00"
"May 09, 2021","2,463.00"
"May 02, 2021","2,540.00"
"Apr 25, 2021","2,397.00"
"Apr 18, 2021","2,364.50"
"Apr 11, 2021","2,315.00"
"Apr 04, 2021","2,264.00"
"Mar 28, 2021","2,225.50"
"Mar 21, 2021","2,298.00"
"Mar 14, 2021","2,265.50"
"Mar 07, 2021","2,171.00"
"Feb 28, 2021","2,176.00"
"Feb 21, 2021","2,154.50"
"Feb 14, 2021","2,131.50"
"Feb 07, 2021","2,089.50"
"Jan 31, 2021","2,015.50"
"Jan 24, 2021","1,977.50"
"Jan 17, 2021","1,994.50"
"Jan 10, 2021","1,991.00"
"Jan 03, 2021","2,021.50"
"Dec 27, 2020","1,979.50"
"Dec 20, 2020","2,030.00"
"Dec 13, 2020","2,056.50"
"Dec 06, 2020","2,022.50"
"Nov 29, 2020","2,044.00"
"Nov 22, 2020","1,998.50"
"Nov 15, 2020","1,993.00"
"Nov 08, 2020","1,932.00"
"Nov 01, 2020","1,901.50"
"Oct 25, 2020","1,848.50"
"Oct 18, 2020","1,842.50"
"Oct 11, 2020","1,870.50"
"Oct 04, 2020","1,841.50"
"Sep 27, 2020","1,768.00"
"Sep 20, 2020","1,748.50"
"Sep 13, 2020","1,792.50"
"Sep 06, 2020","1,775.00"
"Aug 30, 2020","1,786.50"
"Aug 23, 2020","1,800.00"
"Aug 16, 2020","1,765.00"
"Aug 09, 2020","1,746.00"
"Aug 02, 2020","1,771.00"
"Jul 26, 2020","1,713.50"
"Jul 19, 2020","1,700.00"
"Jul 12, 2020","1,661.50"
"Jul 05, 2020","1,688.50"
"Jun 28, 2020","1,614.00"
"Jun 21, 2020","1,601.50"
"Jun 14, 2020","1,592.00"
"Jun 07, 2020","1,585.00"
"May 31, 2020","1,591.50"
"May 24, 2020","1,548.00"
"May 17, 2020","1,506.50"
"May 10, 2020","1,462.00"
"May 03, 2020","1,485.00"
"Apr 26, 2020","1,487.00"
"Apr 19, 2020","1,514.00"
"Apr 12, 2020","1,507.00"
"Apr 05, 2020","1,479.50"
"Mar 29, 2020","1,481.50"
"Mar 22, 2020","1,545.50"
"Mar 15, 2020","1,582.00"
"Mar 08, 2020","1,680.50"
"Mar 01, 2020","1,685.00"
"Feb 23, 2020","1,694.50"
"Feb 16, 2020","1,713.50"
"Feb 09, 2020","1,722.00"
"Feb 02, 2020","1,726.00"
"Jan 26, 2020","1,722.00"
"Jan 19, 2020","1,781.00"
"Jan 12, 2020","1,805.00"
"Jan 05, 2020","1,806.00"
"Dec 29, 2019","1,824.00"
"Dec 22, 2019","1,825.00"
"Dec 15, 2019","1,800.00"
"Dec 08, 2019","1,768.00"
"Dec 01, 2019","1,765.00"
"Nov 24, 2019","1,770.00"
"Nov 17, 2019","1,739.00"
"Nov 10, 2019","1,755.00"
"Nov 03, 2019","1,807.50"
"Oct 27, 2019","1,786.00"
"Oct 20, 2019","1,728.00"
"Oct 13, 2019","1,738.00"
"Oct 06, 2019","1,722.00"
"Sep 29, 2019","1,719.00"
"Sep 22, 2019","1,735.00"
"Sep 15, 2019","1,795.00"
"Sep 08, 2019","1,810.00"
"Sep 01, 2019","1,791.00"
"Aug 25, 2019","1,753.00"
"Aug 18, 2019","1,770.00"
"Aug 11, 2019","1,792.00"
"Aug 04, 2019","1,771.00"
"Jul 28, 2019","1,770.00"
"Jul 21, 2019","1,802.00"
"Jul 14, 2019","1,848.00"
"Jul 07, 2019","1,822.00"
"Jun 30, 2019","1,803.00"
"Jun 23, 2019","1,800.00"
"Jun 16, 2019","1,767.50"
"Jun 09, 2019","1,764.50"
"Jun 02, 2019","1,764.00"
"May 26, 2019","1,794.50"
"May 19, 2019","1,800.00"
"May 12, 2019","1,837.00"
"May 05, 2019","1,808.00"
"Apr 28, 2019","1,795.50"
"Apr 21, 2019","1,837.00"
"Apr 14, 2019","1,867.00"
"Apr 07, 2019","1,863.00"
"Mar 31, 2019","1,890.00"
"Mar 24, 2019","1,912.00"
"Mar 17, 2019","1,903.00"
"Mar 10, 2019","1,897.00"
"Mar 03, 2019","1,872.00"
"Feb 24, 2019","1,918.00"
"Feb 17, 2019","1,913.00"
"Feb 10, 2019","1,859.00"
"Feb 03, 2019","1,881.00"
"Jan 27, 2019","1,883.00"
"Jan 20, 2019","1,920.00"
"Jan 13, 2019","1,870.00"
"Jan 06, 2019","1,836.00"
"Dec 30, 2018","1,865.00"
"Dec 23, 2018","1,845.00"
"Dec 16, 2018","1,909.00"
"Dec 09, 2018","1,926.00"
"Dec 02, 2018","1,955.00"
"Nov 25, 2018","1,958.00"
"Nov 18, 2018","1,949.00"
"Nov 11, 2018","1,940.00"
"Nov 04, 2018","1,954.00"
"Oct 28, 2018","1,973.00"
"Oct 21, 2018","1,998.00"
"Oct 14, 2018","2,003.00"
"Oct 07, 2018","2,041.00"
"Sep 30, 2018","2,130.00"
"Sep 23, 2018","2,062.00"
"Sep 16, 2018","2,091.00"
"Sep 09, 2018","2,043.00"
"Sep 02, 2018","2,070.00"
"Aug 26, 2018","2,125.00"
"Aug 19, 2018","2,095.00"
"Aug 12, 2018","2,030.00"
"Aug 05, 2018","2,105.00"
"Jul 29, 2018","2,028.00"
"Jul 22, 2018","2,071.00"
"Jul 15, 2018","2,029.00"
"Jul 08, 2018","2,031.00"
"Jul 01, 2018","2,080.00"
"Jun 24, 2018","2,133.00"
"Jun 17, 2018","2,175.00"
"Jun 10, 2018","2,204.00"
"Jun 03, 2018","2,299.00"
"May 27, 2018","2,305.00"
"May 20, 2018","2,263.00"
"May 13, 2018","2,270.00"
"May 06, 2018","2,288.00"
"Apr 29, 2018","2,350.00"
"Apr 22, 2018","2,223.00"
"Apr 15, 2018","2,469.00"
"Apr 08, 2018","2,285.00"
"Apr 01, 2018","2,042.00"
"Mar 25, 2018","2,004.50"
"Mar 18, 2018","2,050.50"
"Mar 11, 2018","2,085.00"
"Mar 04, 2018","2,120.00"
"Feb 25, 2018","2,149.00"
"Feb 18, 2018","2,140.00"
"Feb 11, 2018","2,208.00"
"Feb 04, 2018","2,123.00"
"Jan 28, 2018","2,210.00"
"Jan 21, 2018","2,257.00"
"Jan 14, 2018","2,220.00"
"Jan 07, 2018","2,214.00"
"Dec 31, 2017","2,202.50"
"Dec 24, 2017","2,268.00"
"Dec 17, 2017","2,192.00"
"Dec 10, 2017","2,066.00"
"Dec 03, 2017","2,010.50"
"Nov 26, 2017","2,074.50"
"Nov 19, 2017","2,132.00"
"Nov 12, 2017","2,104.00"
"Nov 05, 2017","2,101.00"
"Oct 29, 2017","2,185.00"
"Oct 22, 2017","2,168.00"
"Oct 15, 2017","2,136.00"
"Oct 08, 2017","2,133.50"
"Oct 01, 2017","2,153.00"
"Sep 24, 2017","2,102.00"
"Sep 17, 2017","2,158.00"
"Sep 10, 2017","2,086.00"
"Sep 03, 2017","2,099.00"
"Aug 27, 2017","2,136.00"
"Aug 20, 2017","2,070.00"
"Aug 13, 2017","2,062.00"
"Aug 06, 2017","2,042.50"
"Jul 30, 2017","1,910.50"
"Jul 23, 2017","1,907.00"
"Jul 16, 2017","1,915.00"
"Jul 09, 2017","1,927.00"
"Jul 02, 2017","1,930.00"
"Jun 25, 2017","1,919.00"
"Jun 18, 2017","1,865.00"
"Jun 11, 2017","1,867.00"
"Jun 04, 2017","1,907.00"
"May 28, 2017","1,931.00"
"May 21, 2017","1,951.00"
"May 14, 2017","1,943.50"
"May 07, 2017","1,891.00"
"Apr 30, 2017","1,903.00"
"Apr 23, 2017","1,911.50"
"Apr 16, 2017","1,933.50"
"Apr 09, 2017","1,909.00"
"Apr 02, 2017","1,962.00"
"Mar 26, 2017","1,962.50"
"Mar 19, 2017","1,939.00"
